127.0.0.1 - - [01/Apr/2018:16:07:57 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [01/Apr/2018:16:08:00 +0900] "GET /eStore/ HTTP/1.1" 200 7760
0:0:0:0:0:0:0:1 - - [01/Apr/2018:16:08:00 +0900] "GET /eStore/resources/css/carousel.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [01/Apr/2018:16:08:00 +0900] "GET /eStore/resources/css/main.css HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [01/Apr/2018:16:08:00 +0900] "GET /eStore/resources/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [01/Apr/2018:16:08:00 +0900] "GET /eStore/resources/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [01/Apr/2018:16:08:06 +0900] "GET /eStore/login HTTP/1.1" 200 4123
0:0:0:0:0:0:0:1 - - [01/Apr/2018:16:08:07 +0900] "GET /eStore/resources/css/main.css HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [01/Apr/2018:16:08:07 +0900] "GET /eStore/resources/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [01/Apr/2018:16:08:07 +0900] "GET /eStore/resources/css/carousel.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [01/Apr/2018:16:08:07 +0900] "GET /eStore/resources/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [01/Apr/2018:16:08:09 +0900] "GET /eStore/products HTTP/1.1" 200 4906
0:0:0:0:0:0:0:1 - - [01/Apr/2018:16:08:09 +0900] "GET /eStore/resources/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [01/Apr/2018:16:08:09 +0900] "GET /eStore/resources/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [01/Apr/2018:16:08:09 +0900] "GET /eStore/resources/css/main.css HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [01/Apr/2018:16:08:09 +0900] "GET /eStore/resources/css/carousel.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [01/Apr/2018:16:08:11 +0900] "GET /eStore/viewProduct/1 HTTP/1.1" 200 3825
0:0:0:0:0:0:0:1 - - [01/Apr/2018:16:08:11 +0900] "GET /eStore/resources/css/main.css HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [01/Apr/2018:16:08:11 +0900] "GET /eStore/resources/css/carousel.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [01/Apr/2018:16:08:11 +0900] "GET /eStore/resources/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [01/Apr/2018:16:08:11 +0900] "GET /eStore/resources/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [01/Apr/2018:16:08:11 +0900] "GET /eStore/resources/images/1.png HTTP/1.1" 200 819684
