127.0.0.1 - - [13/May/2018:19:58:21 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:23 +0900] "GET /eStore/ HTTP/1.1" 200 7760
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:24 +0900] "GET /eStore/resources/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:24 +0900] "GET /eStore/resources/css/carousel.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:24 +0900] "GET /eStore/resources/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:24 +0900] "GET /eStore/resources/css/main.css HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:29 +0900] "GET /eStore/login HTTP/1.1" 200 4123
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:29 +0900] "GET /eStore/resources/css/carousel.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:29 +0900] "GET /eStore/resources/css/main.css HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:29 +0900] "GET /eStore/resources/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:29 +0900] "GET /eStore/resources/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:37 +0900] "POST /eStore/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:37 +0900] "GET /eStore/ HTTP/1.1" 200 8278
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:37 +0900] "GET /eStore/resources/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:37 +0900] "GET /eStore/resources/css/main.css HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:37 +0900] "GET /eStore/resources/css/carousel.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:37 +0900] "GET /eStore/resources/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:38 +0900] "GET /eStore/admin HTTP/1.1" 200 3919
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:39 +0900] "GET /eStore/resources/css/carousel.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:39 +0900] "GET /eStore/resources/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:39 +0900] "GET /eStore/resources/css/main.css HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:39 +0900] "GET /eStore/resources/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:40 +0900] "GET /eStore/admin/productInventory HTTP/1.1" 200 6594
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:40 +0900] "GET /eStore/resources/css/carousel.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:40 +0900] "GET /eStore/resources/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:40 +0900] "GET /eStore/resources/css/main.css HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:40 +0900] "GET /eStore/resources/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:40 +0900] "GET /eStore/resources/images/ HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:40 +0900] "GET /eStore/resources/images/1.png HTTP/1.1" 200 819684
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:43 +0900] "GET /eStore/admin/productInventory/updateProduct/4 HTTP/1.1" 200 5860
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:43 +0900] "GET /eStore/resources/css/main.css HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:43 +0900] "GET /eStore/resources/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:43 +0900] "GET /eStore/resources/css/carousel.css HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [13/May/2018:19:58:43 +0900] "GET /eStore/resources/js/bootstrap.min.js HTTP/1.1" 200 48944
